name,status,description,start_date,end_date,requirements,funding,contact,url
Accompagner la construction et/ou la rénovation énergétique de bâtiments publics innovants et exemplaires.,NA,"Le projet consiste à accompagner la construction et/ou la rénovation énergétique de bâtiments publics innovants et exemplaires. Il vise à agir face à l'urgence climatique et pour une économie décarbonée. Les bénéficiaires potentiels sont les acteurs publics, tels que les collectivités territoriales, les établissements publics, etc. Le dispositif détaille les mesures prises pour soutenir ce projet. Pour plus d'informations, veuillez contacter les personnes responsables.",NA,NA,"Accompany the construction and/or energy renovation of innovative and exemplary public buildings
Act in response to the climate emergency and towards a decarbonized economy
Potential beneficiaries: public entities or entities responsible for public buildings in Occitanie region
Details of the program: It aims to support the construction and/or energy renovation of public buildings that are innovative and exemplary in terms of energy performance. The goal is to reduce greenhouse gas emissions, promote energy efficiency, and contribute to the transition to a low-carbon economy.
Contact: The contact information for this program is not provided in the given text.",NA,NA,https://www.europe-en-occitanie.eu/Accompagner-la-construction-et-ou-la-renovation-energetique-de-batiments-publics,
Améliorer la connaissance sur les milieux et leur fonctionnement pour massifier les solutions fondées sur la nature (SfN),NA,Améliorer la connaissance sur les milieux et leur fonctionnement pour massifier les solutions fondées sur la nature (SfN).,NA,NA,"1. Improve knowledge on ecosystems and their functioning.

2. Massively implement nature-based solutions (SfN).

3. Act in response to the climate emergency and towards a decarbonized economy.

4. Targeted beneficiaries.

5. Detailed information on the program.

6. Contact details for further information.",NA,NA,https://www.europe-en-occitanie.eu/Ameliorer-la-connaissance-sur-les-milieux-et-leur-fonctionnement-pour-massifier-les,
Améliorer le cadre de vie des habitants en zone défavorisée,NA,"Le projet vise à améliorer le cadre de vie des habitants en zone défavorisée, en promouvant le rééquilibrage territorial et en réduisant les disparités. Les bénéficiaires potentiels sont ceux qui habitent dans ces zones défavorisées. Le dispositif détaillé est disponible en téléchargement. Pour plus d'informations, vous pouvez nous contacter.",NA,NA,"- Améliorer le cadre de vie des habitants en zone défavorisée
- Promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources",NA,Les coordonnées de contact ne sont pas fournies dans le texte. NA.,https://www.europe-en-occitanie.eu/Ameliorer-le-cadre-de-vie-des-habitants-en-zone-defavorisee-44880,
Améliorer le cadre de vie des habitants en zone rurale,NA,"Le projet vise à améliorer le cadre de vie des habitants en zone rurale en promouvant le rééquilibrage territorial et en réduisant les disparités. Il s'agit de valoriser les ressources des zones rurales et de réduire les inégalités entre les zones rurales et urbaines. Les bénéficiaires potentiels du projet sont les habitants des zones rurales. Pour plus de détails sur le dispositif et pour nous contacter, veuillez consulter les liens fournis.",NA,NA,"- Améliorer le cadre de vie des habitants en zone rurale
- Promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources",NA,NA,https://www.europe-en-occitanie.eu/Ameliorer-le-cadre-de-vie-des-habitants-en-zone-rurale,
"Le projet est ""Atténuer la vulnérabilité en milieu littoral / Préparer la recomposition spatiale et développer un outil d’aide à la décision"".",NA,"Le projet vise à atténuer la vulnérabilité en milieu littoral, préparer la recomposition spatiale et développer un outil d'aide à la décision dans le contexte de l'urgence climatique et de la transition vers une économie décarbonée. Les bénéficiaires potentiels et les détails du dispositif ne sont pas précisés dans le texte fourni.",NA,NA,"- Atténuer la vulnérabilité en milieu littoral
- Préparer la recomposition spatiale
- Développer un outil d’aide à la décision
- Agir face à l’urgence climatique
- Promouvoir une économie décarbonée",NA,NA,https://www.europe-en-occitanie.eu/Attenuer-la-vulnerabilite-en-milieu-littoral-Preparer-la-recomposition-spatiale-et,
Atténuer la vulnérabilité en milieu littoral / Travaux d’atténuation des vulnérabilités.,NA,"Le projet concerne l'atténuation de la vulnérabilité en milieu littoral par des travaux visant à réduire les risques liés au changement climatique. Il s'agit d'agir face à l'urgence climatique et de favoriser une économie décarbonée. Le dispositif est ouvert à différents bénéficiaires potentiels. Pour plus de détails, veuillez nous contacter.",NA,NA,"- Atténuer la vulnérabilité en milieu littoral
- Travaux d'atténuation des vulnérabilités
- Agir face à l'urgence climatique
- Pour une économie décarbonée",NA,NA,https://www.europe-en-occitanie.eu/Attenuer-la-vulnerabilite-en-milieu-littoral-Travaux-d-attenuation-des,
Développer l’hébergement à destination des populations fragiles et marginalisées dans les zones rurales.,NA,"Le projet consiste à développer l'hébergement dans les zones rurales pour les populations fragiles et marginalisées. Il vise à réduire les disparités territoriales et à valoriser les ressources locales. Le dispositif s'adresse à différents bénéficiaires potentiels. Pour plus de détails sur le dispositif et pour prendre contact, vous pouvez télécharger le document d'action disponible en ligne.",NA,NA,"- Développer l'hébergement à destination des populations fragiles et marginalisées dans les zones rurales
- Promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources",NA,NA,https://www.europe-en-occitanie.eu/Developper-l-hebergement-a-destination-des-populations-fragiles-et-marginalisees,
Développer l’hébergement à destination des populations fragiles et marginalisées dans les zones urbaines.,NA,Le projet consiste à développer l'hébergement à destination des populations fragiles et marginalisées dans les zones urbaines. L'objectif est de promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources. Les bénéficiaires potentiels sont les acteurs impliqués dans l'hébergement des populations fragiles et marginalisées.,NA,NA,"- Développer l'hébergement à destination des populations fragiles et marginalisées dans les zones urbaines
- Promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources
- Bénéficiaires potentiels
- Détail du dispositif
- Contact",NA,NA,https://www.europe-en-occitanie.eu/Developper-l-hebergement-a-destination-des-populations-fragiles-et-marginalisees-44877,
"Développer les équipements culturels, touristiques et de loisir pour tous en zone rurale.",NA,"Le projet vise à développer les équipements culturels, touristiques et de loisir pour tous en zone rurale. Les bénéficiaires potentiels de ce dispositif sont les acteurs publics et privés (collectivités, associations, entreprises, etc.) qui souhaitent mettre en place des équipements favorisant l'accès à la culture, au tourisme et aux loisirs en zone rurale. Pour plus de détails, vous pouvez télécharger l'application PDF du dispositif ou nous contacter via les différents réseaux sociaux mentionnés.",NA,NA,"- Developpeur les équipements culturels, touristiques et de loisir pour tous en zone rurale
- Bénéficiaires potentiels: non spécifiés dans le texte
- Contact: non spécifié dans le texte",NA,NA,https://www.europe-en-occitanie.eu/Developper-les-equipements-culturels-touristiques-et-de-loisir-pour-tous-en-zone,
"Développer les équipements culturels, touristiques et de loisir pour tous en zone urbaine",NA,"Le projet vise à développer les équipements culturels, touristiques et de loisir pour tous en zone urbaine afin de promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources. Les bénéficiaires potentiels de ce dispositif sont les acteurs du secteur culturel, touristique et de loisir en Occitanie. Pour plus de détails sur le dispositif et pour contacter les responsables, veuillez consulter le document téléchargeable ""Action 4 - Equipements culturels, touristiques et loisirs urbains"" disponible sur notre site internet.",NA,NA,"- Développer les équipements culturels, touristiques et de loisir pour tous en zone urbaine
- Promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources
- Bénéficiaires potentiels
- Contact",NA,"Contactez-nous sur les réseaux sociaux :

- Twitter : [lien Twitter]
- Facebook : [lien Facebook]
- Youtube : [lien Youtube]
- Instagram : [lien Instagram]
- Linkedin : [lien Linkedin]

Pour plus d'informations sur les différents projets, financements et thématiques, vous pouvez visiter notre site web. Si vous avez un projet, veuillez le mentionner et nous serons ravis de vous aider.",https://www.europe-en-occitanie.eu/Developper-les-equipements-culturels-touristiques-et-de-loisir-pour-tous-en-zone-44875,
